Max_out, Size , DFS, KAHNS, alpha 
1, 100000, 0.5837154656666665, 0.25010249033333337, 0.5
2, 100000, 0.523855870333333, 0.2995650189999998, 0.5
3, 100000, 0.6003899340000002, 0.30191446766666513, 0.5
4, 100000, 0.5883749143333338, 0.36940803966666397, 0.5
5, 100000, 0.6582823666666707, 0.3598187989999981, 0.5
1, 100000, 0.5930047763333329, 0.3563404260000003, 0.75
2, 100000, 0.6277081590000009, 0.3294700369999977, 0.75
3, 100000, 0.634441656333332, 0.37178343433333794, 0.75
4, 100000, 0.6479962156666659, 0.40722967633333457, 0.75
5, 100000, 0.6941928859999962, 0.36178327866666865, 0.75
1, 100000, 0.6078828336666646, 0.32003779000000065, 1.0
2, 100000, 0.6041514376666631, 0.371810192999997, 1.0
3, 100000, 0.6314628933333305, 0.3555031403333307, 1.0
4, 100000, 0.6539951496666655, 0.3654883869999992, 1.0
5, 100000, 0.6597260296666624, 0.3700055740000134, 1.0
1, 100000, 0.614470331333346, 0.30870562200000035, 1.5
2, 100000, 0.6341674996666692, 0.34604254999999284, 1.5
3, 100000, 0.6625751566666717, 0.360834529666666, 1.5
4, 100000, 0.6411922816666712, 0.37569718866666335, 1.5
5, 100000, 0.6634368913333143, 0.38091755866666216, 1.5
1, 100000, 0.5942512750000049, 0.3125835073333387, 2.0
2, 100000, 0.6006316613333335, 0.3480225800000009, 2.0
3, 100000, 0.6427000276666774, 0.37069571633333, 2.0
4, 100000, 0.64434697599998, 0.37150673466667666, 2.0
5, 100000, 0.6262612759999892, 0.39128286499999376, 2.0
4, 100000, 0.6539951496666655, 0.3654883869999992, 1.0
