Alpha, Max_out, Size , DFS, KAHNS 
0.5, 1, 1000, 0.006547666666666692, 0.003322666666666733
0.5, 10, 1000, 0.008476999999999993, 0.004112000000000042
0.5, 100, 1000, 0.011309333333333393, 0.007347666666666752
0.5, 1000, 1000, 0.011637666666666657, 0.007551999999999855
0.75, 1, 1000, 0.006869999999999858, 0.003290666666666553
0.75, 10, 1000, 0.00887533333333342, 0.004543333333333492
0.75, 100, 1000, 0.01415933333333319, 0.008158666666666795
0.75, 1000, 1000, 0.015490666666666542, 0.010325666666666825
1.0, 1, 1000, 0.005568999999999935, 0.0029000000000000505
1.0, 10, 1000, 0.008265666666666652, 0.004485666666666758
1.0, 100, 1000, 0.017514999999999798, 0.010604333333333512
1.0, 1000, 1000, 0.017991666666666777, 0.01102199999999994
1.5, 1, 1000, 0.006684333333333292, 0.0034409999999998795
1.5, 10, 1000, 0.008174333333333136, 0.0045293333333337555
1.5, 100, 1000, 0.01961366666666642, 0.013781333333333201
1.5, 1000, 1000, 0.02660533333333337, 0.018543000000000493
2.0, 1, 1000, 0.00743000000000027, 0.003934666666666864
2.0, 10, 1000, 0.008337666666666799, 0.005353999999999933
2.0, 100, 1000, 0.02356499999999991, 0.0175783333333334
2.0, 1000, 1000, 0.031340666666666316, 0.018565000000000016
